genre,question_id,n_seams,severity_sum,severity_mean,severity_max
novel,6a659de3_4,2,1.302257009100456,0.651128504550228,0.7197656074207275
novel,6a659de3_3,2,1.1145120000952278,0.5572560000476139,0.6825668499038406
novel,6a659de3_5,6,3.095909290484294,0.5159848817473823,0.7052280780781469
novel,6a659de3_7,5,2.9594873889436335,0.5918974777887267,0.7509985503883407
novel,6a659de3_6,5,2.7038972746208336,0.5407794549241667,0.6825668499038406
novel,6a659de3_11,3,1.909716685929626,0.6365722286432086,0.683195800665245
novel,6a659de3_12,8,4.203996533247578,0.5254995666559472,0.7052280780781469
novel,6a659de3_8,5,3.380656709932346,0.6761313419864692,0.8419590883373445
novel,6a659de3_14,6,3.025684680682903,0.5042807801138172,0.7985463789311558
novel,6a659de3_17,4,2.5340145392382785,0.6335036348095696,0.8419590883373445
novel,9561a72a_0,6,3.7947511973198704,0.6324585328866451,0.7891644544657312
novel,9561a72a_1,20,11.028923629536996,0.5514461814768498,0.709627005388102
novel,9561a72a_3,44,21.071657224220008,0.4789013005504547,1.0510723607130237
novel,9561a72a_5,15,8.758418244969029,0.583894549664602,0.7891644544657312
novel,9561a72a_7,14,8.010956132416398,0.572211152315457,0.757135049486438
novel,9561a72a_10,12,6.5344426826552215,0.5445368902212685,0.709627005388102
novel,9561a72a_9,7,4.057056444980294,0.579579492140042,0.7539177136507861
novel,9561a72a_11,22,11.69558104004111,0.5316173200018687,0.7106881212251794
novel,9561a72a_12,17,9.558189957735497,0.5622464681020879,0.757135049486438
novel,bf55d1c1_2,2,1.3225908082124471,0.6612954041062236,0.7736003206104631
novel,bf55d1c1_1,1,0.3628194051426349,0.3628194051426349,0.3628194051426349
novel,bf55d1c1_0,8,4.39479206698744,0.54934900837343,0.7592653284154705
novel,bf55d1c1_3,10,5.591532794415539,0.5591532794415539,0.753864878583103
novel,bf55d1c1_5,14,7.731540131093521,0.55225286650668,0.757135049486438
novel,bf55d1c1_4,6,3.817262495313336,0.6362104158855559,0.7025837685174738
novel,bf55d1c1_6,9,4.778174397650012,0.5309082664055569,0.7592653284154705
novel,bf55d1c1_11,2,0.9448583297868524,0.4724291648934262,0.5820389246442175
novel,bf55d1c1_9,10,4.307759934222468,0.4307759934222468,0.7004569137911631
novel,bf55d1c1_10,5,2.888405609584002,0.5776811219168004,0.7592653284154705
novel,bf55d1c1_12,2,1.1026989803331424,0.5513494901665712,0.6250543579667418
